figure_id,title,evidence_role,interpretation_boundary,png_path,pdf_path
Figure01_sample_and_market_coverage,Sample composition and data coverage,descriptive,Shows sample balance and usable observations.,data/gold/figures/Figure01_sample_and_market_coverage.png,data/gold/figures/Figure01_sample_and_market_coverage.pdf
Figure02_market_parallel_trends,Abnormal-return trends,diagnostic,Descriptive trends; not a formal parallel-trends test.,data/gold/figures/Figure02_market_parallel_trends.png,data/gold/figures/Figure02_market_parallel_trends.pdf
Figure03_cumulative_abnormal_returns,Cumulative abnormal returns,descriptive,Unadjusted group means; formal inference is in DiD.,data/gold/figures/Figure03_cumulative_abnormal_returns.png,data/gold/figures/Figure03_cumulative_abnormal_returns.pdf
Figure04_python_r_did_validation,Python/R DiD validation,formal,Displays the main persistent-effect estimate and 95% confidence intervals.,data/gold/figures/Figure04_python_r_did_validation.png,data/gold/figures/Figure04_python_r_did_validation.pdf
Figure05_event_study_forest,Event-study forest plot,formal,Short-window associations across events and windows.,data/gold/figures/Figure05_event_study_forest.png,data/gold/figures/Figure05_event_study_forest.pdf
Figure06_event_car_distributions,Event CAR distributions,diagnostic,"Firm-level distribution for the [-1,+1] window.",data/gold/figures/Figure06_event_car_distributions.png,data/gold/figures/Figure06_event_car_distributions.pdf
Figure07_scm_cumulative_trajectory,SCM cumulative trajectory,complementary,Treatment is a revenue-threshold exposure proxy.,data/gold/figures/Figure07_scm_cumulative_trajectory.png,data/gold/figures/Figure07_scm_cumulative_trajectory.pdf
Figure08_scm_monthly_gap,SCM monthly gap,complementary,Treatment is a revenue-threshold exposure proxy.,data/gold/figures/Figure08_scm_monthly_gap.png,data/gold/figures/Figure08_scm_monthly_gap.pdf
Figure09_scm_placebo_distribution,SCM placebo inference,formal_complementary,Compares treated proxy MSPE ratio with donor placebos.,data/gold/figures/Figure09_scm_placebo_distribution.png,data/gold/figures/Figure09_scm_placebo_distribution.pdf
Figure10_scm_donor_weights,SCM donor weights,diagnostic,Documents synthetic-control composition.,data/gold/figures/Figure10_scm_donor_weights.png,data/gold/figures/Figure10_scm_donor_weights.pdf
Figure11_exploratory_revenue_trends,Revenue trends,exploratory,Only one usable pre-implementation fiscal year.,data/gold/figures/Figure11_exploratory_revenue_trends.png,data/gold/figures/Figure11_exploratory_revenue_trends.pdf
Figure12_did_dynamic_pretrend_diagnostic,DiD dynamic pretrend diagnostic,assumption_diagnostic,Pretrend rejection weakens causal interpretation.,data/gold/figures/Figure12_did_dynamic_pretrend_diagnostic.png,data/gold/figures/Figure12_did_dynamic_pretrend_diagnostic.pdf
Figure13_did_baseline_covariate_balance,DiD baseline covariate balance,assumption_diagnostic,Large standardized differences indicate poor comparability.,data/gold/figures/Figure13_did_baseline_covariate_balance.png,data/gold/figures/Figure13_did_baseline_covariate_balance.pdf
